id,name,province,city,town,type,property,level,department,tags
1,北京大学,北京,北京,海淀区,综合,公办,本科,教育部,"[""985"",""211"",""双一流"",""101计划"",""研究生院"",""保研"",""国重点"",""部委院校"",""省部共建"",""C9""]"
3,清华大学,北京,北京,海淀区,综合,公办,本科,教育部,"[""985"",""211"",""双一流"",""101计划"",""研究生院"",""保研"",""国重点"",""部委院校"",""省部共建"",""C9""]"
2957,北京大学医学部,北京,北京,海淀区,医药,公办,本科,教育部,"[""985"",""211"",""双一流"",""101计划"",""研究生院"",""保研"",""国重点"",""部委院校"",""省部共建"",""C9""]"
673,复旦大学,上海,上海,杨浦区,综合,公办,本科,教育部,"[""985"",""211"",""双一流"",""101计划"",""研究生院"",""保研"",""国重点"",""部委院校"",""省部共建"",""C9"",""华东五校""]"
66,中国科学院大学,北京,北京,石景山区,综合,公办,本科,中国科学院,"[""双一流"",""101计划"",""保研"",""国重点"",""部委院校""]"
675,上海交通大学,上海,上海,闵行区,综合,公办,本科,教育部,"[""985"",""211"",""双一流"",""101计划"",""研究生院"",""保研"",""国重点"",""部委院校"",""省部共建"",""C9"",""华东五校""]"
2749,上海交通大学医学院,上海,上海,黄浦区,医药,公办,本科,教育部,"[""985"",""211"",""双一流"",""101计划"",""研究生院"",""保研"",""国重点"",""部委院校"",""省部共建"",""C9"",""华东五校""]"
1013,中国科学技术大学,安徽,合肥市,包河区,理工,公办,本科,中国科学院,"[""985"",""211"",""双一流"",""101计划"",""研究生院"",""保研"",""国重点"",""部委院校"",""省部共建"",""C9"",""华东五校""]"
736,南京大学,江苏,南京市,鼓楼区,综合,公办,本科,教育部,"[""985"",""211"",""双一流"",""101计划"",""研究生院"",""保研"",""国重点"",""部委院校"",""省部共建"",""C9"",""华东五校""]"
903,浙江大学,浙江,杭州市,西湖区,综合,公办,本科,教育部,"[""985"",""211"",""双一流"",""101计划"",""研究生院"",""保研"",""国重点"",""部委院校"",""省部共建"",""C9"",""华东五校""]"
2980,复旦大学上海医学院,上海,上海,徐汇区,医药,公办,本科,复旦大学,"[""985"",""211"",""双一流"",""101计划"",""研究生院"",""保研"",""国重点"",""部委院校"",""省部共建"",""C9"",""华东五校""]"
2,中国人民大学,北京,北京,海淀区,综合,公办,本科,教育部,"[""985"",""211"",""双一流"",""101计划"",""研究生院"",""保研"",""国重点"",""部委院校"",""省部共建""]"
6,北京航空航天大学,北京,北京,海淀区,理工,公办,本科,工业和信息化部,"[""985"",""211"",""双一流"",""101计划"",""研究生院"",""保研"",""国重点"",""部委院校"",""省部共建"",""国防七子""]"
2984,浙江大学医学院,浙江,杭州市,西湖区,医药,公办,本科,浙江大学,"[""101计划"",""保研"",""国重点"",""部委院校"",""省部共建""]"
2768,哈尔滨工业大学（深圳）,广东,深圳市,南山区,理工,公办,本科,工业和信息化部,"[""985"",""211"",""双一流"",""101计划"",""研究生院"",""保研"",""国重点"",""省重点"",""部委院校"",""省部共建"",""C9"",""国防七子""]"
21,北京协和医学院,北京,北京,东城区,医药,公办,本科,国家卫生健康委员会,"[""双一流"",""研究生院"",""保研"",""国重点"",""部委院校"",""省部共建""]"
7,北京理工大学,北京,北京,海淀区,理工,公办,本科,工业和信息化部,"[""985"",""211"",""双一流"",""101计划"",""研究生院"",""保研"",""国重点"",""部委院校"",""省部共建"",""国防七子""]"
674,同济大学,上海,上海,杨浦区,理工,公办,本科,教育部,"[""985"",""211"",""双一流"",""101计划"",""研究生院"",""保研"",""国重点"",""部委院校"",""省部共建""]"
1630,华中科技大学,湖北,武汉市,洪山区,理工,公办,本科,教育部,"[""985"",""211"",""双一流"",""101计划"",""研究生院"",""保研"",""国重点"",""部委院校"",""省部共建""]"
1629,武汉大学,湖北,武汉市,武昌区,综合,公办,本科,教育部,"[""985"",""211"",""双一流"",""101计划"",""研究生院"",""保研"",""国重点"",""部委院校"",""省部共建""]"
2741,中国人民解放军国防科技大学,湖南,长沙市,开福区,军事,公办,本科,中央军委,"[""985"",""211"",""双一流"",""101计划"",""保研""]"
2508,西安交通大学,陕西,西安市,碑林区,综合,公办,本科,教育部,"[""985"",""211"",""双一流"",""101计划"",""研究生院"",""保研"",""国重点"",""部委院校"",""省部共建"",""C9""]"
594,哈尔滨工业大学,黑龙江,哈尔滨市,南岗区,理工,公办,本科,工业和信息化部,"[""985"",""211"",""双一流"",""101计划"",""研究生院"",""保研"",""国重点"",""省重点"",""部委院校"",""省部共建"",""C9"",""国防七子""]"
93,南开大学,天津,天津,南开区,综合,公办,本科,教育部,"[""985"",""211"",""双一流"",""101计划"",""研究生院"",""保研"",""国重点"",""部委院校"",""省部共建""]"
738,东南大学,江苏,南京市,玄武区,综合,公办,本科,教育部,"[""985"",""211"",""双一流"",""101计划"",""研究生院"",""保研"",""国重点"",""部委院校"",""省部共建""]"
2213,电子科技大学,四川,成都市,成华区,理工,公办,本科,教育部,"[""985"",""211"",""双一流"",""101计划"",""研究生院"",""保研"",""国重点"",""部委院校"",""省部共建"",""四电四邮""]"
2509,西北工业大学,陕西,西安市,碑林区,理工,公办,本科,工业和信息化部,"[""985"",""211"",""双一流"",""101计划"",""研究生院"",""保研"",""国重点"",""部委院校"",""省部共建"",""国防七子""]"
1886,中山大学,广东,广州市,,综合,公办,本科,教育部,"[""985"",""211"",""双一流"",""101计划"",""研究生院"",""保研"",""国重点"",""部委院校"",""省部共建""]"
13,北京邮电大学,北京,北京,海淀区,理工,公办,本科,教育部,"[""211"",""双一流"",""101计划"",""研究生院"",""保研"",""国重点"",""部委院校"",""省部共建"",""四电四邮""]"
94,天津大学,天津,天津,南开区,理工,公办,本科,教育部,"[""985"",""211"",""双一流"",""101计划"",""研究生院"",""保研"",""国重点"",""部委院校"",""省部共建""]"
