direction,source_id,source_title,source_url,source_year,issuing_org,keyword,evidence_excerpt
advanced_manufacturing,ndrc_15th_five_year_plan_2026,中华人民共和国国民经济和社会发展第十五个五年规划纲要,https://www.ndrc.gov.cn/fggz/fzzlgh/gjfzgh/202603/U020260317369114704096.pdf,2026,国家发展改革委,高端装备,机器人、生物医药、高端装备、航空航天等战略性新兴产业发展，
advanced_manufacturing,miit_ai_manufacturing_action_2026,工业和信息化部等八部门关于印发《“人工智能+制造”专项行动实施意见》的通知-国家数据局,https://www.nda.gov.cn/sjj/zwgk/zcfb/0112/20260107214358696030895_pc.html,2026,工业和信息化部等八部门,智能制造,...过滤许可证冲突与漏洞风险，全面夯实“人工智能+软件”融合创新的数据底座。 附件2 制造业企业人工智能应用指南 人工智能与制造业全要素、全流程、全链条深度融合，是破解产业升级瓶颈、塑造国际竞争优势的重要途径。为加快推动人工智能与制造业深度融合，推动数字技术与制造优势更好结合，提升制造业企业应用人工智能的科学化、规范化水平，全面赋能新型工业化，制定本指南。 使用人工智能进行研发设计、生产制造、经营管理及开展延伸服务的企业适用本指...
advanced_manufacturing,government_work_report_2026_spp,《政府工作报告》全文_中华人民共和国最高人民检察院,https://www.spp.gov.cn/spp/tt/202603/t20260313_723952.shtml,2026,新华社/最高人民检察院转载,机器人,一年来，我国发展向新向优、彰显蓬勃活力。新质生产力稳步发展，科技创新成果丰硕，人工智能、生物医药、机器人、量子科技等研发应用走在世界前列，芯片自主研发有了新突破，天问二号开启“追星”之旅，北斗规模应用全面拓展，雅下水电工程开工建设，首艘国产电磁弹射型航母福建舰正式入列，国产大模型引领全球开源生态。产业结构持续优化，高技术制造业、装备制造业增加值分别增长9.4%、9.2%，工业机器人、集成电路产量分别增长28%、10.9%，新能源汽...
artificial_intelligence,ndrc_ai_bidding_2026,【关于加快招标投标领域人工智能推广应用的实施意见(发改法规〔2026〕195号)】-国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202602/t20260210_1403680.html,2026,国家发展改革委等部门,人工智能,关于加快招标投标领域人工智能推广应用的实施意见(发改法规〔2026〕195号)
artificial_intelligence,ndrc_15th_five_year_plan_2026,中华人民共和国国民经济和社会发展第十五个五年规划纲要,https://www.ndrc.gov.cn/fggz/fzzlgh/gjfzgh/202603/U020260317369114704096.pdf,2026,国家发展改革委,算力,第十二章 强化算力算法数据高效供给 ................................... 34
artificial_intelligence,miit_ai_manufacturing_action_2026,工业和信息化部等八部门关于印发《“人工智能+制造”专项行动实施意见》的通知-国家数据局,https://www.nda.gov.cn/sjj/zwgk/zcfb/0112/20260107214358696030895_pc.html,2026,工业和信息化部等八部门,人工智能+,工业和信息化部等八部门关于印发《“人工智能+制造”专项行动实施意见》的通知
bio_manufacturing,ndrc_15th_five_year_plan_2026,中华人民共和国国民经济和社会发展第十五个五年规划纲要,https://www.ndrc.gov.cn/fggz/fzzlgh/gjfzgh/202603/U020260317369114704096.pdf,2026,国家发展改革委,生物医药,机器人、生物医药、高端装备、航空航天等战略性新兴产业发展，
bio_manufacturing,miit_ai_manufacturing_action_2026,工业和信息化部等八部门关于印发《“人工智能+制造”专项行动实施意见》的通知-国家数据局,https://www.nda.gov.cn/sjj/zwgk/zcfb/0112/20260107214358696030895_pc.html,2026,工业和信息化部等八部门,生物制造,...供应链风险预测与应急响应能力，实时感知供应链中断风险，保障食品供应稳定性。 （四）提升医药智能研发与供应管理水平。 建设人工智能驱动的新药发现与虚拟筛选平台，通过多模态药效预测大模型，加速靶点识别与候选药物发现，降低药物研发周期与成本。融合量子化学模拟与人工智能技术，精准设计药物分子结构，提升药效与安全性。加快人工智能在药物合成路径规划、原料组合优化等环节落地应用，构建自动化、高通量、低成本的智能药物合成体系。建设医药供应链...
bio_manufacturing,government_work_report_2026_spp,《政府工作报告》全文_中华人民共和国最高人民检察院,https://www.spp.gov.cn/spp/tt/202603/t20260313_723952.shtml,2026,新华社/最高人民检察院转载,生物医药,一年来，我国发展向新向优、彰显蓬勃活力。新质生产力稳步发展，科技创新成果丰硕，人工智能、生物医药、机器人、量子科技等研发应用走在世界前列，芯片自主研发有了新突破，天问二号开启“追星”之旅，北斗规模应用全面拓展，雅下水电工程开工建设，首艘国产电磁弹射型航母福建舰正式入列，国产大模型引领全球开源生态。产业结构持续优化，高技术制造业、装备制造业增加值分别增长9.4%、9.2%，工业机器人、集成电路产量分别增长28%、10.9%，新能源汽...
commercial_space,ndrc_15th_five_year_plan_2026,中华人民共和国国民经济和社会发展第十五个五年规划纲要,https://www.ndrc.gov.cn/fggz/fzzlgh/gjfzgh/202603/U020260317369114704096.pdf,2026,国家发展改革委,航空航天,机器人、生物医药、高端装备、航空航天等战略性新兴产业发展，
