major_special_id,major_code,major_name,school_tier,school_tier_name,sample_school_id,sample_school_name,sample_school_rank,sample_school_province,offer_count_in_tier,evaluation_label,directions,confidence,tier_interpretation,sample_basis
121227,520101,临床医学,1,头部/强研究型高校,,,,,0,否,,low,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,该层级未找到开设样本，按专业属性估算
121227,520101,临床医学,2,区域重点/特色优势高校,10517,内蒙古医科大学,572,内蒙古,1,否,,low,区域重点/特色优势高校中有开设样本；当前更像传统专业供给，需结合具体学校特色复核。,远程 edu_school_major + 三层院校表
121227,520101,临床医学,3,普通应用/职业供给高校,11816,安徽第二医学院,931,安徽,14,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121227,520101,临床医学,3,普通应用/职业供给高校,11878,郑州健康学院,1033,河南,14,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121227,520101,临床医学,3,普通应用/职业供给高校,11141,山东协和学院,1092,山东,14,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121227,520101,临床医学,3,普通应用/职业供给高校,11432,南阳医学高等专科学校,,河南,14,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121227,520101,临床医学,3,普通应用/职业供给高校,11708,商丘医学高等专科学校,,河南,14,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121228,520102,口腔医学,1,头部/强研究型高校,,,,,0,否,,low,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,该层级未找到开设样本，按专业属性估算
121228,520102,口腔医学,2,区域重点/特色优势高校,11614,邢台医学院,793,河北,1,否,,low,区域重点/特色优势高校中有开设样本；当前更像传统专业供给，需结合具体学校特色复核。,远程 edu_school_major + 三层院校表
121228,520102,口腔医学,3,普通应用/职业供给高校,11708,商丘医学高等专科学校,,河南,5,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121228,520102,口腔医学,3,普通应用/职业供给高校,11700,山东力明科技职业学院,,山东,5,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121228,520102,口腔医学,3,普通应用/职业供给高校,11487,山东医学高等专科学校,,山东,5,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121228,520102,口腔医学,3,普通应用/职业供给高校,11782,枣庄职业学院,,山东,5,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121228,520102,口腔医学,3,普通应用/职业供给高校,11854,黔东南民族职业技术学院,,贵州,5,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121229,520401,中医学,1,头部/强研究型高校,,,,,0,否,,low,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,该层级未找到开设样本，按专业属性估算
121229,520401,中医学,2,区域重点/特色优势高校,,,,,0,否,,low,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,该层级未找到开设样本，按专业属性估算
121229,520401,中医学,3,普通应用/职业供给高校,11432,南阳医学高等专科学校,,河南,4,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121229,520401,中医学,3,普通应用/职业供给高校,11655,安徽中医药高等专科学校,,安徽,4,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121229,520401,中医学,3,普通应用/职业供给高校,11786,山东中医药高等专科学校,,山东,4,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121229,520401,中医学,3,普通应用/职业供给高校,12024,广西卫生职业技术学院,,广西,4,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121230,520402,中医骨伤,1,头部/强研究型高校,,,,,0,否,,low,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,该层级未找到开设样本，按专业属性估算
121230,520402,中医骨伤,2,区域重点/特色优势高校,,,,,0,否,,low,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,该层级未找到开设样本，按专业属性估算
121230,520402,中医骨伤,3,普通应用/职业供给高校,,,,,0,否,,low,普通应用/职业供给高校中未找到开设样本；当前不建议直接标为新质生产力专业。,该层级未找到开设样本，按专业属性估算
121231,520403,针灸推拿,1,头部/强研究型高校,,,,,0,否,,low,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,该层级未找到开设样本，按专业属性估算
121231,520403,针灸推拿,2,区域重点/特色优势高校,,,,,0,否,,low,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,该层级未找到开设样本，按专业属性估算
121231,520403,针灸推拿,3,普通应用/职业供给高校,12319,保山中医药高等专科学校,,云南,3,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121231,520403,针灸推拿,3,普通应用/职业供给高校,11432,南阳医学高等专科学校,,河南,3,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121231,520403,针灸推拿,3,普通应用/职业供给高校,11655,安徽中医药高等专科学校,,安徽,3,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121232,520404,蒙医学,1,头部/强研究型高校,,,,,0,否,,low,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,该层级未找到开设样本，按专业属性估算
121232,520404,蒙医学,2,区域重点/特色优势高校,10517,内蒙古医科大学,572,内蒙古,1,否,,low,区域重点/特色优势高校中有开设样本；当前更像传统专业供给，需结合具体学校特色复核。,远程 edu_school_major + 三层院校表
121232,520404,蒙医学,3,普通应用/职业供给高校,,,,,0,否,,low,普通应用/职业供给高校中未找到开设样本；当前不建议直接标为新质生产力专业。,该层级未找到开设样本，按专业属性估算
121233,520405,藏医学,1,头部/强研究型高校,10254,成都中医药大学,172,四川,2,否,,low,头部/强研究型高校中有开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,远程 edu_school_major + 三层院校表
121233,520405,藏医学,1,头部/强研究型高校,10386,青海大学,204,青海,2,否,,low,头部/强研究型高校中有开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,远程 edu_school_major + 三层院校表
121233,520405,藏医学,2,区域重点/特色优势高校,10765,西藏藏医药大学,877,西藏,1,否,,low,区域重点/特色优势高校中有开设样本；当前更像传统专业供给，需结合具体学校特色复核。,远程 edu_school_major + 三层院校表
121233,520405,藏医学,3,普通应用/职业供给高校,,,,,0,否,,low,普通应用/职业供给高校中未找到开设样本；当前不建议直接标为新质生产力专业。,该层级未找到开设样本，按专业属性估算
121234,520406,维医学,1,头部/强研究型高校,,,,,0,否,,low,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,该层级未找到开设样本，按专业属性估算
121234,520406,维医学,2,区域重点/特色优势高校,10346,新疆医科大学,650,新疆,1,否,,low,区域重点/特色优势高校中有开设样本；当前更像传统专业供给，需结合具体学校特色复核。,远程 edu_school_major + 三层院校表
121234,520406,维医学,3,普通应用/职业供给高校,,,,,0,否,,low,普通应用/职业供给高校中未找到开设样本；当前不建议直接标为新质生产力专业。,该层级未找到开设样本，按专业属性估算
121235,520407,傣医学,1,头部/强研究型高校,,,,,0,否,,low,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,该层级未找到开设样本，按专业属性估算
121235,520407,傣医学,2,区域重点/特色优势高校,,,,,0,否,,low,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,该层级未找到开设样本，按专业属性估算
121235,520407,傣医学,3,普通应用/职业供给高校,,,,,0,否,,low,普通应用/职业供给高校中未找到开设样本；当前不建议直接标为新质生产力专业。,该层级未找到开设样本，按专业属性估算
121236,520408,哈医学,1,头部/强研究型高校,,,,,0,否,,low,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,该层级未找到开设样本，按专业属性估算
121236,520408,哈医学,2,区域重点/特色优势高校,,,,,0,否,,low,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,该层级未找到开设样本，按专业属性估算
121236,520408,哈医学,3,普通应用/职业供给高校,,,,,0,否,,low,普通应用/职业供给高校中未找到开设样本；当前不建议直接标为新质生产力专业。,该层级未找到开设样本，按专业属性估算
121237,520409,朝医学,1,头部/强研究型高校,,,,,0,否,,low,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,该层级未找到开设样本，按专业属性估算
121237,520409,朝医学,2,区域重点/特色优势高校,,,,,0,否,,low,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,该层级未找到开设样本，按专业属性估算
121237,520409,朝医学,3,普通应用/职业供给高校,,,,,0,否,,low,普通应用/职业供给高校中未找到开设样本；当前不建议直接标为新质生产力专业。,该层级未找到开设样本，按专业属性估算
121238,520703,预防医学,1,头部/强研究型高校,,,,,0,否,,low,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,该层级未找到开设样本，按专业属性估算
121238,520703,预防医学,2,区域重点/特色优势高校,,,,,0,否,,low,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,该层级未找到开设样本，按专业属性估算
121238,520703,预防医学,3,普通应用/职业供给高校,11816,安徽第二医学院,931,安徽,1,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121239,570101,早期教育,1,头部/强研究型高校,,,,,0,否,,low,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,该层级未找到开设样本，按专业属性估算
121239,570101,早期教育,2,区域重点/特色优势高校,,,,,0,否,,low,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,该层级未找到开设样本，按专业属性估算
121239,570101,早期教育,3,普通应用/职业供给高校,12388,内蒙古民族幼儿师范高等专科学校,,内蒙古,4,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121239,570101,早期教育,3,普通应用/职业供给高校,12189,合肥幼儿师范高等专科学校,,安徽,4,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121239,570101,早期教育,3,普通应用/职业供给高校,12441,贵阳幼儿师范高等专科学校,,贵州,4,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121239,570101,早期教育,3,普通应用/职业供给高校,12508,黔南民族幼儿师范高等专科学校,,贵州,4,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121240,570102,学前教育,1,头部/强研究型高校,,,,,0,否,,low,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,该层级未找到开设样本，按专业属性估算
121240,570102,学前教育,2,区域重点/特色优势高校,11734,东营职业学院,,山东,3,否,,low,区域重点/特色优势高校中有开设样本；当前更像传统专业供给，需结合具体学校特色复核。,远程 edu_school_major + 三层院校表
121240,570102,学前教育,2,区域重点/特色优势高校,11696,济宁职业技术学院,,山东,3,否,,low,区域重点/特色优势高校中有开设样本；当前更像传统专业供给，需结合具体学校特色复核。,远程 edu_school_major + 三层院校表
121240,570102,学前教育,2,区域重点/特色优势高校,11556,淮北职业技术学院,,安徽,3,否,,low,区域重点/特色优势高校中有开设样本；当前更像传统专业供给，需结合具体学校特色复核。,远程 edu_school_major + 三层院校表
121240,570102,学前教育,3,普通应用/职业供给高校,11427,金华职业技术大学,724,浙江,32,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121240,570102,学前教育,3,普通应用/职业供给高校,11580,陇南师范学院,843,甘肃,32,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121240,570102,学前教育,3,普通应用/职业供给高校,12177,武威职业技术大学,1003,甘肃,32,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121240,570102,学前教育,3,普通应用/职业供给高校,11458,兴安职业技术大学,1182,内蒙古,32,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121240,570102,学前教育,3,普通应用/职业供给高校,12146,三峡旅游职业技术学院,,湖北,32,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121241,570103,小学教育,1,头部/强研究型高校,,,,,0,否,,low,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,该层级未找到开设样本，按专业属性估算
121241,570103,小学教育,2,区域重点/特色优势高校,10767,三明学院,694,福建,1,否,,low,区域重点/特色优势高校中有开设样本；当前更像传统专业供给，需结合具体学校特色复核。,远程 edu_school_major + 三层院校表
121241,570103,小学教育,3,普通应用/职业供给高校,11623,桂林师范学院,628,广西,8,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121241,570103,小学教育,3,普通应用/职业供给高校,11427,金华职业技术大学,724,浙江,8,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121241,570103,小学教育,3,普通应用/职业供给高校,11580,陇南师范学院,843,甘肃,8,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121241,570103,小学教育,3,普通应用/职业供给高校,12751,崇左幼儿师范高等专科学校,,广西,8,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121241,570103,小学教育,3,普通应用/职业供给高校,12423,桐城师范高等专科学校,,安徽,8,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121242,570104,小学语文教育,1,头部/强研究型高校,,,,,0,否,,low,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,该层级未找到开设样本，按专业属性估算
121242,570104,小学语文教育,2,区域重点/特色优势高校,,,,,0,否,,low,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,该层级未找到开设样本，按专业属性估算
121242,570104,小学语文教育,3,普通应用/职业供给高校,10898,豫章师范学院,773,江西,7,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121242,570104,小学语文教育,3,普通应用/职业供给高校,10880,景德镇学院,815,江西,7,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121242,570104,小学语文教育,3,普通应用/职业供给高校,11580,陇南师范学院,843,甘肃,7,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121242,570104,小学语文教育,3,普通应用/职业供给高校,10845,济宁学院,888,山东,7,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121242,570104,小学语文教育,3,普通应用/职业供给高校,11574,淄博师范高等专科学校,,山东,7,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121243,570105,小学数学教育,1,头部/强研究型高校,,,,,0,否,,low,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,该层级未找到开设样本，按专业属性估算
121243,570105,小学数学教育,2,区域重点/特色优势高校,,,,,0,否,,low,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,该层级未找到开设样本，按专业属性估算
121243,570105,小学数学教育,3,普通应用/职业供给高校,11814,德宏师范学院,538,云南,4,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
