type_name,level2_code,level2_name,rows_count,distinct_special_names
,01,哲学,4,4
,02,经济学,26,26
,03,法学,54,54
,04,教育学,35,35
,05,文学,126,126
,06,历史学,9,9
,07,理学,47,47
,08,工学,265,265
,09,农学,49,49
,10,医学,61,61
,12,管理学,69,69
,13,艺术学,65,65
,15,农林牧渔大类,55,55
,16,资源环境与安全大类,64,64
,17,能源动力与材料大类,52,52
,18,土木建筑大类,37,37
,19,水利大类,16,16
,20,装备制造大类,78,78
,21,生物与化工大类,21,21
,22,轻工纺织大类,29,29
,23,食品药品与粮食大类,27,27
,231,能源动力与材料大类,14,14
,234,文化艺术大类,23,23
,239,土木建筑大类,19,19
,24,交通运输大类,65,65
,249,装备制造大类,36,36
,25,电子与信息大类,46,46
,250,财经商贸大类,25,25
,259,电子与信息大类,29,29
,26,医药卫生大类,49,49
,265,医药卫生大类,22,22
,27,财经商贸大类,50,50
,28,旅游大类,18,18
,282,新闻传播大类,7,7
,283,农林牧渔大类,19,19
,289,资源环境与安全大类,19,19
,29,文化艺术大类,66,66
,290,轻工纺织大类,9,9
,30,新闻传播大类,23,23
,301,教育与体育大类,14,14
,304,食品药品与粮食大类,13,13
,31,教育与体育大类,49,49
,311,交通运输大类,24,24
,319,公安与司法大类,11,11
,32,公安与司法大类,29,29
,326,旅游大类,6,6
,328,公共管理与服务大类,15,15
,33,公共管理与服务大类,28,28
,333,生物与化工大类,7,7
,335,水利大类,8,8
专科(普通),52,医药卫生大类,12,12
专科(普通),57,教育与体育大类,16,16
专科(普通),58,公安与司法大类,20,20
本科(普通),02,经济学,4,4
本科(普通),03,法学,2,2
本科(普通),04,教育学,1,1
本科(普通),05,文学,6,6
本科(普通),07,理学,6,6
本科(普通),08,工学,28,28
本科(普通),09,农学,2,2
本科(普通),10,医学,1,1
本科(普通),12,管理学,6,6
本科(普通),13,艺术学,2,2
本科(普通),14,交叉学科,15,15
