id,special_id,code,special_name,special_type,type_name,level2_code,level2_name,level3_code,level3_name,degree,limit_year,year,ruanke_rank,salaryavg,fivesalaryavg
9242,1,010101,哲学,本科(普通),,01,哲学,34,哲学类,哲学学士,四年,,,0,19200
9729,2,010102,逻辑学,本科(普通),,01,哲学,34,哲学类,哲学学士,四年,,,209059,27700
9699,3,010103K,宗教学,本科(普通),,01,哲学,34,哲学类,哲学学士,四年,,,0,18100
9243,1098,010104T,伦理学,本科(普通),,01,哲学,34,哲学类,哲学学士,四年,,,0,15800
9852,4,020101,经济学,本科(普通),,02,经济学,0201,经济学类,经济学学士,四年,,,121662,18000
9940,5,020102,经济统计学,本科(普通),,02,经济学,0201,经济学类,经济学学士,四年,,,130347,23100
9192,1099,020103T,国民经济管理,本科(普通),,02,经济学,0201,经济学类,经济学学士,四年,,,95108,17600
9482,1100,020104T,资源与环境经济学,本科(普通),,02,经济学,0201,经济学类,经济学学士,四年,,,107935,24100
9135,1101,020105T,商务经济学,本科(普通),,02,经济学,0201,经济学类,经济学学士,四年,,,0,21000
9375,1102,020106T,能源经济,本科(普通),,02,经济学,0201,经济学类,经济学学士,四年,,,106064,18800
10431,8318,020107T,劳动经济学,本科(普通),,02,经济学,0201,经济学类,经济学学士,四年,,,121775,0
10508,8319,020108T,经济工程,本科(普通),,02,经济学,0201,经济学类,经济学学士,四年,,,0,0
10091,8320,020109T,数字经济,本科(普通),,02,经济学,0201,经济学类,经济学学士,四年,,,174674,0
9756,6,020201K,财政学,本科(普通),,02,经济学,36,财政学类,经济学学士,四年,,,121819,15900
9613,7,020202,税收学,本科(普通),,02,经济学,36,财政学类,经济学学士,四年,,,135532,19300
10588,9321,020203TK,国际税收,本科(普通),,02,经济学,36,财政学类,经济学学士,四年,,,106467,0
9762,8,020301K,金融学,本科(普通),,02,经济学,0203,金融学类,经济学学士,四年,,,119952,20800
10349,9,020302,金融工程,本科(普通),,02,经济学,0203,金融学类,经济学学士,四年,,,127339,23600
9392,10,020303,保险学,本科(普通),,02,经济学,0203,金融学类,经济学学士,四年,,,123841,20700
9495,11,020304,投资学,本科(普通),,02,经济学,0203,金融学类,经济学学士,四年,,,123796,22500
9531,1103,020305T,金融数学,本科(普通),,02,经济学,0203,金融学类,经济学学士,四年,,,134393,18900
9436,1104,020306T,信用管理,本科(普通),,02,经济学,0203,金融学类,"经济学学士,管理学学士",四年,,,126595,19200
9435,1105,020307T,经济与金融,本科(普通),,02,经济学,0203,金融学类,经济学学士,四年,,,122479,30400
9235,1263,020308T,精算学,本科(普通),,02,经济学,0203,金融学类,"经济学学士,理学学士",四年,,,132253,0
10152,8321,020309T,互联网金融,本科(普通),,02,经济学,0203,金融学类,经济学学士,四年,,,131177,0
10115,8322,020310T,金融科技,本科(普通),,02,经济学,0203,金融学类,经济学学士,四年,,,135219,0
10573,9774,020311TK,金融审计,本科(普通),,02,经济学,0203,金融学类,经济学学士,四年,,,134975,0
9261,12,020401,国际经济与贸易,本科(普通),,02,经济学,0204,经济与贸易类,经济学学士,四年,,,117009,17700
9389,13,020402,贸易经济,本科(普通),,02,经济学,0204,经济与贸易类,经济学学士,四年,,,121826,18500
10908,9322,020403T,国际经济发展合作,本科(普通),,02,经济学,0204,经济与贸易类,经济学学士,四年,,,92188,0
9116,14,030101K,法学,本科(普通),,03,法学,39,法学类,法学学士,四年,,,125687,18500
9154,1106,030102T,知识产权,本科(普通),,03,法学,39,法学类,法学学士,四年,,,122689,19400
9348,1107,030103T,监狱学,本科(普通),,03,法学,39,法学类,法学学士,四年,,,124677,9700
10538,8323,030104T,信用风险管理与法律防控,本科(普通),,03,法学,39,法学类,法学学士,四年,,,125310,0
10446,8324,030105T,国际经贸规则,本科(普通),,03,法学,39,法学类,法学学士,四年,,,125310,0
10398,8325,030106TK,司法警察学,本科(普通),,03,法学,39,法学类,法学学士,四年,,,125310,0
10214,8326,030107TK,社区矫正,本科(普通),,03,法学,39,法学类,法学学士,四年,,,125310,0
10692,9323,030108TK,纪检监察,本科(普通),,03,法学,39,法学类,法学学士,四年,,,125310,0
10855,9775,030109TK,国际法,本科(普通),,03,法学,39,法学类,法学学士,四年,,,131093,0
10602,9776,030110TK,司法鉴定学,本科(普通),,03,法学,39,法学类,法学学士,四年,,,161335,0
10627,9871,030111TK,国家安全学,本科(普通),,03,法学,39,法学类,法学学士,四年,,,0,0
10586,9872,030112TK,海外利益安全,本科(普通),,03,法学,39,法学类,法学学士,四年,,,157641,0
9503,15,030201,政治学与行政学,本科(普通),,03,法学,40,政治学类,法学学士,四年,,,125877,16300
9088,16,030202,国际政治,本科(普通),,03,法学,40,政治学类,法学学士,四年,,,126792,18600
9198,17,030203,外交学,本科(普通),,03,法学,40,政治学类,法学学士,四年,,,115223,19100
9530,1108,030204T,国际事务与国际关系,本科(普通),,03,法学,40,政治学类,法学学士,四年,,,91911,24500
9338,1109,030205T,政治学、经济学与哲学,本科(普通),,03,法学,40,政治学类,法学学士,四年,,,140563,19400
10334,8327,030206TK,国际组织与全球治理,本科(普通),,03,法学,40,政治学类,法学学士,四年,,,94897,0
9186,18,030301,社会学,本科(普通),,03,法学,41,社会学类,法学学士,四年,,,130726,17900
9384,19,030302,社会工作,本科(普通),,03,法学,41,社会学类,法学学士,四年,,,122070,14800
9362,1110,030303T,人类学,本科(普通),,03,法学,41,社会学类,法学学士,四年,,,140352,14600
9410,1111,030304T,女性学,本科(普通),,03,法学,41,社会学类,法学学士,四年,,,0,10500
9226,1112,030305T,家政学,本科(普通),,03,法学,41,社会学类,法学学士,四年,,,0,9400
10457,8707,030306T,老年学,本科(普通),,03,法学,41,社会学类,法学学士,四年,,,98725,0
10168,8794,030307T,社会政策,本科(普通),,03,法学,41,社会学类,法学学士,四年,,,135955,0
10053,20,030401,民族学,本科(普通),,03,法学,42,民族学类,法学学士,四年,,,132757,13100
9631,21,030501,科学社会主义,本科(普通),,03,法学,43,马克思主义理论类,法学学士,四年,,,127709,17200
9770,22,030502,中国共产党历史,本科(普通),,03,法学,43,马克思主义理论类,法学学士,四年,,,0,16800
9995,23,030503,思想政治教育,本科(普通),,03,法学,43,马克思主义理论类,法学学士,四年,,,122508,13000
10487,8328,030504T,马克思主义理论,本科(普通),,03,法学,43,马克思主义理论类,法学学士,四年,,,143067,0
10607,9777,030505TK,工会学,本科(普通),,03,法学,43,马克思主义理论类,法学学士,四年,,,133334,0
