school_id	code	gb_code	name	province_name	city_name	level_name	school_type	type_name	school_nature_name	belong	f985	f211	dual_class_raw	is985	is211	is_dual_class	is_strong_base	is_central	is_admissions	vocational	doublehigh	ruanke_rank	qs_rank	us_rank	eol_rank	edu_rank	xyh_rank	qs_world	tws_china	ranking	com_score	num_master	num_doctor	num_master2	num_doctor2	num_academician	num_lab	num_subject	num_specialty	key_disciplines	research_projects	school_batch	categories	features
11603	13918	NULL	七台河职业学院	黑龙江	七台河市	专科		综合	公办	省政府	2	2	2	0	0	0	0	0	0													0	0	0	0	0	0	0	0	0	0		["综合"]	
11399	14612	NULL	三亚中瑞酒店管理职业学院	海南	三亚市	专科		综合	民办	省教育厅	2	2	2	0	0	0	0	0	0													0	0	0	0	0	0	0	0	0	0		["综合"]	["省属"]
12672	12717	NULL	三亚城市职业学院	海南	三亚市	专科		理工	民办	省教育厅	2	2	2	0	0	0	0	0	0													0	0	0	0	0	0	0	0	0	0		["理工"]	["现代学徒制试点学院"]
11369	13892	NULL	三亚学院	海南	三亚市	本科		综合	民办	省教育厅	2	2	2	0	0	0	0	0	0							1236				1236	0.00	10	0	0	0	1	0	0	0	0	0		["综合"]	["硕博点"]
70620	14893	NULL	三亚护理职业学院	海南	三亚市	专科		医药	民办	海南省教育厅	2	2	2	0	0	0	0	0	0													0	0	0	0	0	0	0	0	0	0		["医药"]	
12701	14236	NULL	三亚理工职业学院	海南	三亚市	专科		理工	民办	省教育厅	2	2	2	0	0	0	0	0	0													0	0	0	0	0	0	0	0	0	0		["理工"]	["现代学徒制试点学院"]
12380	13931	NULL	三亚航空旅游职业学院	海南	三亚市	专科		综合	民办	省教育厅	2	2	2	0	0	0	0	0	0													0	0	0	0	0	0	0	0	0	0		["综合"]	["现代学徒制试点学院"]
10296	11075	NULL	三峡大学	湖北	宜昌市	本科	区域特色研究型	综合	公办	省政府	2	2	2	0	0	0	0	0	0			174		241		230	113			230	0.00	32	4	0	0	1	0	0	0	0	0		["综合"]	["研究生院", "保研", "省重点", "省属", "省部共建", "硕博点"]
11252	13236	NULL	三峡大学科技学院	湖北	宜昌市	本科		综合	民办	省教育厅	2	2	2	0	0	0	0	0	0							954				954	0.00	0	0	0	0	0	0	0	0	0	0		["综合"]	
12146	14258	NULL	三峡旅游职业技术学院	湖北	宜昌市	专科		综合	公办	省政府	2	2	2	0	0	0	0	0	0													0	0	0	0	0	0	0	0	0	0		["综合"]	
12626	14061	NULL	三峡电力职业学院	湖北	宜昌市	专科		理工	公办	省政府	2	2	2	0	0	0	0	0	0													0	0	0	0	0	0	0	0	0	0		["理工"]	["现代学徒制试点学院"]
12280	13976	NULL	三明医学科技职业学院	福建	三明市	专科		综合	公办	省政府	2	2	2	0	0	0	0	0	0													0	0	0	0	0	0	0	0	0	0		["综合"]	["现代学徒制试点学院"]
10767	11311	NULL	三明学院	福建	三明市	本科		综合	公办	省政府	2	2	2	0	0	0	0	0	0			381				694	356			694	0.00	3	0	0	0	0	0	0	0	0	0		["综合"]	["省属"]
11371	11122	NULL	三江学院	江苏	南京市	本科		综合	民办	省教育厅	2	2	2	0	0	0	0	0	0							1188				1188	0.00	0	0	0	0	0	0	0	0	0	0		["综合"]	["省属"]
11415	14606	NULL	三门峡社会管理职业学院	河南	三门峡市	专科		综合	公办	省政府	2	2	2	0	0	0	0	0	0													0	0	0	0	0	0	0	0	0	0		["综合"]	
11546	10842	NULL	三门峡职业技术学院	河南	三门峡市	专科		理工	公办	省政府	2	2	2	0	0	0	0	0	0													0	0	0	0	0	0	0	0	0	0		["理工"]	["现代学徒制试点学院"]
12398	10851	NULL	上海东海职业技术学院	上海	闵行区	专科		综合	民办	市教委	2	2	2	0	0	0	0	0	0													0	0	0	0	0	0	0	0	0	0		["综合"]	["现代学徒制试点学院"]
11227	12915	NULL	上海中侨职业技术大学	上海	金山区	本科		综合	民办	市教委	2	2	2	0	0	0	0	0	0							1242				1242	0.00	0	0	0	0	0	0	0	0	0	0		["综合"]	["现代学徒制试点学院"]
10164	10268	NULL	上海中医药大学	上海	浦东新区	本科	特色研究型	医药	公办	市政府	2	2	1	0	0	1	1	0	1			69		214		154	101			154	0.00	26	14	0	0	0	0	0	0	0	0		["医药"]	["双一流", "101计划", "研究生院", "保研", "国重点", "省重点", "省属", "省部共建"]
12728	13907	NULL	上海中华职业技术学院	上海	奉贤区	专科		理工	民办	市教委	2	2	2	0	0	0	0	0	0													0	0	0	0	0	0	0	0	0	0		["理工"]	
10011	10248	NULL	上海交通大学	上海	闵行区	本科	研究型	综合	公办	教育部	1	1	1	1	1	1	1	0	1			4	4	4		3	5			3	0.00	72	78	0	0	71	0	0	0	0	0		["综合"]	["985", "211", "双一流", "101计划", "研究生院(部)", "保研", "国重点", "部委院校", "省部共建", "C9", "硕博点"]
10012	10248	NULL	上海交通大学医学院	上海	黄浦区	本科	中国研究型	医药	公办	教育部	1	1	1	1	1	1	1	0	1							3						25	24	0	0	22	0	0	0	0	0		["医药"]	["985", "211", "双一流", "101计划", "研究生院", "保研", "国重点", "省部共建", "硕博点"]
12562	12497	NULL	上海交通职业技术学院	上海	宝山区	专科		理工	公办	市政府	2	2	2	0	0	0	0	0	0													0	0	0	0	0	0	0	0	0	0		["理工"]	["省属"]
10329	10277	NULL	上海体育大学	上海	杨浦区	本科	特色研究型	体育	公办	市政府	2	2	1	0	0	1	0	0	0			131		346		257	204			257	0.00	19	11	0	0	0	0	0	0	0	0		["体育"]	["双一流", "研究生院", "保研", "省部共建", "硕博点"]
10871	10262	NULL	上海健康医学院	上海	浦东新区	本科		医药	公办	市政府	2	2	2	0	0	0	0	0	0			337		371		579	481			579	0.00	0	0	0	0	0	0	0	0	0	0		["医药"]	["省属", "国家级示范", "国家级骨干"]
10795	10283	NULL	上海公安学院	上海	浦东新区	本科		政法	公办	市政府	2	2	2	0	0	0	0	0	0			417				810	500			810	0.00	0	0	0	0	0	0	0	0	0	0		["政法"]	["省属", "国家级示范"]
10981	12914	NULL	上海兴伟学院	上海	浦东新区	本科		综合	民办	市教委	2	2	2	0	0	0	0	0	0							940				940	0.00	0	0	0	0	0	0	0	0	0	0		["综合"]	
