school_id,code,gb_code,name,province_name,city_name,level_name,school_type,school_nature_name,university_tier,university_tier_name,tier_reason,tier_trigger_codes,is985,is211,is_dual_class,is_strong_base,is_central,ruanke_rank,ranking,qs_rank,us_rank,num_master,num_doctor,num_master2,num_doctor2,num_academician,num_lab,key_disciplines,doublehigh,school_batch
11603,13918,NULL,七台河职业学院,黑龙江,七台河市,专科,,公办,3,普通应用/职业供给高校,专科/高职高校，当前库内未命中双高、国家示范/骨干等强信号,default_vocational,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,
11399,14612,NULL,三亚中瑞酒店管理职业学院,海南,三亚市,专科,,民办,3,普通应用/职业供给高校,专科/高职高校，当前库内未命中双高、国家示范/骨干等强信号,default_vocational,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,
12672,12717,NULL,三亚城市职业学院,海南,三亚市,专科,,民办,3,普通应用/职业供给高校,专科/高职高校，当前库内未命中双高、国家示范/骨干等强信号,default_vocational,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,
11369,13892,NULL,三亚学院,海南,三亚市,本科,,民办,2,区域重点/特色优势高校,硕士点/硕士专业学位点：10；院士数：1,master_points;academicians,0,0,0,0,0,,1236,,,10,0,0,0,1,0,0,,
70620,14893,NULL,三亚护理职业学院,海南,三亚市,专科,,民办,3,普通应用/职业供给高校,专科/高职高校，当前库内未命中双高、国家示范/骨干等强信号,default_vocational,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,
12701,14236,NULL,三亚理工职业学院,海南,三亚市,专科,,民办,3,普通应用/职业供给高校,专科/高职高校，当前库内未命中双高、国家示范/骨干等强信号,default_vocational,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,
12380,13931,NULL,三亚航空旅游职业学院,海南,三亚市,专科,,民办,3,普通应用/职业供给高校,专科/高职高校，当前库内未命中双高、国家示范/骨干等强信号,default_vocational,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,
10296,11075,NULL,三峡大学,湖北,宜昌市,本科,区域特色研究型,公办,2,区域重点/特色优势高校,办学类型为区域特色研究型；软科排名前350：174；库内综合排名前500：230；博士点/博士专业学位点：4；硕士点/硕士专业学位点：32；院士数：1,school_type_t2;ruanke_top350;ranking_top500;doctoral_points;master_points;academicians,0,0,0,0,0,174,230,,241,32,4,0,0,1,0,0,,
11252,13236,NULL,三峡大学科技学院,湖北,宜昌市,本科,,民办,3,普通应用/职业供给高校,本科高校，但未命中985、211、双一流、研究型、前列排名、硕博点等强信号,default_undergraduate,0,0,0,0,0,,954,,,0,0,0,0,0,0,0,,
12146,14258,NULL,三峡旅游职业技术学院,湖北,宜昌市,专科,,公办,3,普通应用/职业供给高校,专科/高职高校，当前库内未命中双高、国家示范/骨干等强信号,default_vocational,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,
12626,14061,NULL,三峡电力职业学院,湖北,宜昌市,专科,,公办,3,普通应用/职业供给高校,专科/高职高校，当前库内未命中双高、国家示范/骨干等强信号,default_vocational,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,
12280,13976,NULL,三明医学科技职业学院,福建,三明市,专科,,公办,3,普通应用/职业供给高校,专科/高职高校，当前库内未命中双高、国家示范/骨干等强信号,default_vocational,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,
10767,11311,NULL,三明学院,福建,三明市,本科,,公办,2,区域重点/特色优势高校,硕士点/硕士专业学位点：3,master_points,0,0,0,0,0,381,694,,,3,0,0,0,0,0,0,,
11371,11122,NULL,三江学院,江苏,南京市,本科,,民办,3,普通应用/职业供给高校,本科高校，但未命中985、211、双一流、研究型、前列排名、硕博点等强信号,default_undergraduate,0,0,0,0,0,,1188,,,0,0,0,0,0,0,0,,
11415,14606,NULL,三门峡社会管理职业学院,河南,三门峡市,专科,,公办,3,普通应用/职业供给高校,专科/高职高校，当前库内未命中双高、国家示范/骨干等强信号,default_vocational,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,
11546,10842,NULL,三门峡职业技术学院,河南,三门峡市,专科,,公办,3,普通应用/职业供给高校,专科/高职高校，当前库内未命中双高、国家示范/骨干等强信号,default_vocational,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,
12398,10851,NULL,上海东海职业技术学院,上海,闵行区,专科,,民办,3,普通应用/职业供给高校,专科/高职高校，当前库内未命中双高、国家示范/骨干等强信号,default_vocational,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,
11227,12915,NULL,上海中侨职业技术大学,上海,金山区,本科,,民办,3,普通应用/职业供给高校,本科高校，但未命中985、211、双一流、研究型、前列排名、硕博点等强信号,default_undergraduate,0,0,0,0,0,,1242,,,0,0,0,0,0,0,0,,
10164,10268,NULL,上海中医药大学,上海,浦东新区,本科,特色研究型,公办,1,头部/强研究型高校,双一流高校；软科排名前100：69,is_dual_class;ruanke_top100,0,0,1,1,0,69,154,,214,26,14,0,0,0,0,0,,
12728,13907,NULL,上海中华职业技术学院,上海,奉贤区,专科,,民办,3,普通应用/职业供给高校,专科/高职高校，当前库内未命中双高、国家示范/骨干等强信号,default_vocational,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,
10011,10248,NULL,上海交通大学,上海,闵行区,本科,研究型,公办,1,头部/强研究型高校,985 高校；双一流高校；办学类型为研究型；软科排名前100：4；库内综合排名前100：3,is985;is_dual_class;school_type_t1;ruanke_top100;ranking_top100,1,1,1,1,0,4,3,4,4,72,78,0,0,71,0,0,,
10012,10248,NULL,上海交通大学医学院,上海,黄浦区,本科,中国研究型,公办,1,头部/强研究型高校,985 高校；双一流高校；办学类型为中国研究型,is985;is_dual_class;school_type_t1,1,1,1,1,0,,,,,25,24,0,0,22,0,0,,
12562,12497,NULL,上海交通职业技术学院,上海,宝山区,专科,,公办,3,普通应用/职业供给高校,专科/高职高校，当前库内未命中双高、国家示范/骨干等强信号,default_vocational,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,
10329,10277,NULL,上海体育大学,上海,杨浦区,本科,特色研究型,公办,1,头部/强研究型高校,双一流高校,is_dual_class,0,0,1,0,0,131,257,,346,19,11,0,0,0,0,0,,
10871,10262,NULL,上海健康医学院,上海,浦东新区,本科,,公办,2,区域重点/特色优势高校,软科排名前350：337,ruanke_top350,0,0,0,0,0,337,579,,371,0,0,0,0,0,0,0,,
10795,10283,NULL,上海公安学院,上海,浦东新区,本科,,公办,3,普通应用/职业供给高校,本科高校，但未命中985、211、双一流、研究型、前列排名、硕博点等强信号,default_undergraduate,0,0,0,0,0,417,810,,,0,0,0,0,0,0,0,,
10981,12914,NULL,上海兴伟学院,上海,浦东新区,本科,,民办,3,普通应用/职业供给高校,本科高校，但未命中985、211、双一流、研究型、前列排名、硕博点等强信号,default_undergraduate,0,0,0,0,0,,940,,,0,0,0,0,0,0,0,,
12422,12912,NULL,上海农林职业技术学院,上海,松江区,专科,,公办,3,普通应用/职业供给高校,专科/高职高校，当前库内未命中双高、国家示范/骨干等强信号,default_vocational,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,
12035,11733,NULL,上海出版印刷高等专科学校,上海,杨浦区,专科,,公办,3,普通应用/职业供给高校,专科/高职高校，当前库内未命中双高、国家示范/骨干等强信号,default_vocational,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,
