major_code,special_name,special_type,type_name,catalog_level,level2_name,level3_name,civil_service_fit_score,civil_service_fit_level,exam_scope,direct_role_count,direct_exact_role_count,direct_broad_role_count,direct_no_major_limit_role_count,direct_quasi_three_unlimited_role_count,direct_exact_role_pct,direct_broad_role_pct,direct_no_major_limit_role_pct,direct_quasi_three_unlimited_role_pct,position_match_profile,suitable_role_types,direct_plan_num_sum,direct_weighted_competition_ratio,direct_low_restriction_role_count,direct_central_role_count,direct_central_role_pct,direct_central_avg_competition_ratio,direct_provincial_role_count,direct_provincial_role_pct,direct_provincial_avg_competition_ratio,direct_city_role_count,direct_city_role_pct,direct_city_avg_competition_ratio,direct_county_or_below_role_count,direct_county_or_below_role_pct,direct_county_or_below_avg_competition_ratio,graduate_path_role_count,textual_all_role_count,textual_exact_role_match_count,textual_broad_role_match_count,textual_opportunity_level,upgrade_or_graduate_potential_level,fit_basis,tier1_head_research_reading,tier2_regional_reading,tier3_applied_vocational_reading,sample_departments,sample_job_names
010101,哲学,本科(普通),,本科,哲学,哲学类,66.0,较强适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,439.0,89.0,350.0,0.0,0.0,20.3,79.7,0.0,0.0,主要靠专业大类/门类岗位,税务系统(340)；海关/边检(79)；公安/移民/基层执法(73)；党政综合/办公厅(2)；财政审计金融监管(1)；市场监管/知识产权(1),790.0,119.78,226.0,5.0,1.1,549.8,21.0,4.8,111.17,64.0,14.6,180.76,349.0,79.5,141.45,61.0,500.0,144.0,356.0,medium,升学后中等潜力,存在专业代码或专业名称精确匹配，并有直接学历兼容岗位。,头部院校优势主要体现在保研/读研后进入更高层级岗位。,区域重点/特色院校可重点面向省市县税务、执法、市场监管和事业单位路径。,应用本科可走县区基层、行政执法和地方单位，学校层级不宜夸大。,上海出入境边防检查总站|上海市公安局特勤局|上海海关|中国侨联|中国延安干部学院|中国残联|中国证券监督管理委员会大连监管局|中国证券监督管理委员会广东监管局,一级主任科员及以下|一级主任科员及以下（英语五）|一级主办及以下（一）|一级主办及以下（七）|一级主办及以下（三）|一级主办及以下（九）|一级主办及以下（二十二）|一级主办及以下（二十五）
010102,逻辑学,本科(普通),,本科,哲学,哲学类,49.5,中等适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,375.0,3.0,372.0,0.0,0.0,0.8,99.2,0.0,0.0,主要靠专业大类/门类岗位,税务系统(340)；公安/移民/基层执法(25)；海关/边检(16)；财政审计金融监管(1)；市场监管/知识产权(1)；网信/通信/信息化(1),662.0,115.86,224.0,4.0,1.1,532.0,21.0,5.6,111.17,16.0,4.3,114.47,334.0,89.1,140.04,20.0,395.0,3.0,392.0,medium,升学后中等潜力,存在专业代码或专业名称精确匹配，并有直接学历兼容岗位。,可以考，但院校层级优势有限，更依赖岗位地区和限制条件。,可作为备选路径，适合叠加党员、基层项目、应届身份等条件。,可作为基层备选，但要靠地域、应届和限制条件放大机会。,上海出入境边防检查总站|上海市公安局特勤局|中国残联|中国证券监督管理委员会大连监管局|中央直属机关事务管理局|中央组织部|人力资源和社会保障部|全国妇联,一级主任科员及以下|一级主办及以下（一）|一级主办及以下（七）|一级主办及以下（三）|一级主办及以下（九）|一级主办及以下（二十二）|一级主办及以下（二十五）|一级主办及以下（二）
010103K,宗教学,本科(普通),,本科,哲学,哲学类,42.9,中等适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,372.0,0.0,372.0,0.0,0.0,0.0,100.0,0.0,0.0,主要靠专业大类/门类岗位,税务系统(340)；公安/移民/基层执法(25)；海关/边检(13)；财政审计金融监管(1)；市场监管/知识产权(1)；网信/通信/信息化(1),659.0,115.15,221.0,4.0,1.1,532.0,21.0,5.6,111.17,15.0,4.0,87.77,332.0,89.2,139.98,21.0,393.0,1.0,392.0,medium,升学后中等潜力,主要来自专业类/学科门类宽口径匹配，报考前必须核官方专业目录。,可以考，但院校层级优势有限，更依赖岗位地区和限制条件。,可作为备选路径，适合叠加党员、基层项目、应届身份等条件。,可作为基层备选，但要靠地域、应届和限制条件放大机会。,上海出入境边防检查总站|上海市公安局特勤局|中国残联|中国证券监督管理委员会大连监管局|中央直属机关事务管理局|中央组织部|人力资源和社会保障部|全国妇联,一级主任科员及以下|一级主办及以下（一）|一级主办及以下（七）|一级主办及以下（三）|一级主办及以下（九）|一级主办及以下（二十二）|一级主办及以下（二十五）|一级主办及以下（二）
010104T,伦理学,本科(普通),,本科,哲学,哲学类,42.8,中等适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,372.0,0.0,372.0,0.0,0.0,0.0,100.0,0.0,0.0,主要靠专业大类/门类岗位,税务系统(340)；公安/移民/基层执法(25)；海关/边检(13)；财政审计金融监管(1)；市场监管/知识产权(1)；网信/通信/信息化(1),659.0,115.15,221.0,4.0,1.1,532.0,21.0,5.6,111.17,15.0,4.0,87.77,332.0,89.2,139.98,20.0,392.0,0.0,392.0,medium,升学后中等潜力,主要来自专业类/学科门类宽口径匹配，报考前必须核官方专业目录。,可以考，但院校层级优势有限，更依赖岗位地区和限制条件。,可作为备选路径，适合叠加党员、基层项目、应届身份等条件。,可作为基层备选，但要靠地域、应届和限制条件放大机会。,上海出入境边防检查总站|上海市公安局特勤局|中国残联|中国证券监督管理委员会大连监管局|中央直属机关事务管理局|中央组织部|人力资源和社会保障部|全国妇联,一级主任科员及以下|一级主办及以下（一）|一级主办及以下（七）|一级主办及以下（三）|一级主办及以下（九）|一级主办及以下（二十二）|一级主办及以下（二十五）|一级主办及以下（二）
020101,经济学,本科(普通),,本科,经济学,经济学类,92.4,强适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,5717.0,310.0,5407.0,0.0,0.0,5.4,94.6,0.0,0.0,以对口岗位为主,税务系统(4544)；财政审计金融监管(860)；统计调查(171)；海关/边检(83)；公安/移民/基层执法(83)；交通海事民航铁路(16),11563.0,78.09,4441.0,17.0,0.3,285.19,68.0,1.2,127.75,610.0,10.7,111.38,5022.0,87.8,84.18,609.0,6326.0,561.0,5765.0,very_high,升学后较强潜力,存在专业代码或专业名称精确匹配，并有直接学历兼容岗位。,头部院校可把该专业作为中央/省级机关、选调和研究生岗位的主赛道之一。,区域重点/特色院校可重点面向省市县税务、执法、市场监管和事业单位路径。,应用本科可走县区基层、行政执法和地方单位，学校层级不宜夸大。,上海出入境边防检查总站|上海市公安局特勤局|中华全国供销合作总社|中国井冈山干部学院|中国人民银行|中国人民银行上海总部|中国人民银行云南省分行|中国人民银行内蒙古自治区分行,一处一级主任科员及以下|一处一级警长及以下|一级主任科员及以下|一级主任科员及以下一|一级主任科员及以下（一）|一级主任科员及以下（二）|一级主任科员及以下（英语一）|一级主办及以下
020102,经济统计学,本科(普通),,本科,经济学,经济学类,83.9,强适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,5607.0,59.0,5548.0,0.0,0.0,1.1,98.9,0.0,0.0,主要靠专业大类/门类岗位,税务系统(4544)；财政审计金融监管(831)；统计调查(164)；海关/边检(39)；公安/移民/基层执法(36)；交通海事民航铁路(5),11351.0,77.09,4414.0,6.0,0.1,352.83,64.0,1.1,137.67,536.0,9.6,100.71,5001.0,89.2,83.85,393.0,6000.0,60.0,5940.0,very_high,升学后较强潜力,存在专业代码或专业名称精确匹配，并有直接学历兼容岗位。,头部院校可把该专业作为中央/省级机关、选调和研究生岗位的主赛道之一。,区域重点/特色院校可重点面向省市县税务、执法、市场监管和事业单位路径。,应用本科可走县区基层、行政执法和地方单位，学校层级不宜夸大。,上海出入境边防检查总站|上海市公安局特勤局|中国井冈山干部学院|中国人民银行|中国人民银行云南省分行|中国人民银行内蒙古自治区分行|中国人民银行北京市分行|中国人民银行吉林省分行,一处一级主任科员及以下|一级主任科员及以下|一级主任科员及以下一|一级主任科员及以下（一）|一级主任科员及以下（二）|一级主办及以下|一级主办及以下(一)|一级主办及以下(二)
020103T,国民经济管理,本科(普通),,本科,经济学,经济学类,76.2,强适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,5560.0,11.0,5549.0,0.0,0.0,0.2,99.8,0.0,0.0,主要靠专业大类/门类岗位,税务系统(4544)；财政审计金融监管(802)；统计调查(160)；公安/移民/基层执法(35)；海关/边检(27)；交通海事民航铁路(5),11293.0,77.12,4373.0,6.0,0.1,352.83,62.0,1.1,130.94,524.0,9.4,101.04,4968.0,89.4,84.0,392.0,5952.0,11.0,5941.0,very_high,升学后较强潜力,存在专业代码或专业名称精确匹配，并有直接学历兼容岗位。,头部院校可把该专业作为中央/省级机关、选调和研究生岗位的主赛道之一。,区域重点/特色院校可重点面向省市县税务、执法、市场监管和事业单位路径。,应用本科可走县区基层、行政执法和地方单位，学校层级不宜夸大。,上海出入境边防检查总站|上海市公安局特勤局|中国井冈山干部学院|中国人民银行|中国人民银行云南省分行|中国人民银行内蒙古自治区分行|中国人民银行北京市分行|中国人民银行吉林省分行,一处一级主任科员及以下|一级主任科员及以下|一级主任科员及以下一|一级主任科员及以下（一）|一级主任科员及以下（二）|一级主办及以下|一级主办及以下(一)|一级主办及以下(二)
020104T,资源与环境经济学,本科(普通),,本科,经济学,经济学类,67.7,较强适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,5550.0,1.0,5549.0,0.0,0.0,0.0,100.0,0.0,0.0,主要靠专业大类/门类岗位,税务系统(4544)；财政审计金融监管(799)；统计调查(156)；公安/移民/基层执法(35)；海关/边检(23)；交通海事民航铁路(5),11281.0,77.02,4364.0,7.0,0.1,307.79,61.0,1.1,131.73,524.0,9.4,101.04,4958.0,89.3,83.84,393.0,5943.0,2.0,5941.0,very_high,升学后较强潜力,存在专业代码或专业名称精确匹配，并有直接学历兼容岗位。,头部院校优势主要体现在保研/读研后进入更高层级岗位。,区域重点/特色院校可重点面向省市县税务、执法、市场监管和事业单位路径。,应用本科可走县区基层、行政执法和地方单位，学校层级不宜夸大。,上海出入境边防检查总站|上海市公安局特勤局|中国井冈山干部学院|中国人民银行|中国人民银行云南省分行|中国人民银行内蒙古自治区分行|中国人民银行北京市分行|中国人民银行吉林省分行,一处一级主任科员及以下|一级主任科员及以下|一级主任科员及以下一|一级主任科员及以下（一）|一级主任科员及以下（二）|一级主办及以下|一级主办及以下(一)|一级主办及以下(二)
020105T,商务经济学,本科(普通),,本科,经济学,经济学类,67.6,较强适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,5550.0,1.0,5549.0,0.0,0.0,0.0,100.0,0.0,0.0,主要靠专业大类/门类岗位,税务系统(4544)；财政审计金融监管(800)；统计调查(156)；公安/移民/基层执法(35)；海关/边检(23)；交通海事民航铁路(5),11280.0,77.04,4365.0,6.0,0.1,352.83,61.0,1.1,131.73,524.0,9.4,101.04,4959.0,89.4,83.88,392.0,5942.0,1.0,5941.0,very_high,升学后较强潜力,存在专业代码或专业名称精确匹配，并有直接学历兼容岗位。,头部院校优势主要体现在保研/读研后进入更高层级岗位。,区域重点/特色院校可重点面向省市县税务、执法、市场监管和事业单位路径。,应用本科可走县区基层、行政执法和地方单位，学校层级不宜夸大。,上海出入境边防检查总站|上海市公安局特勤局|中国井冈山干部学院|中国人民银行|中国人民银行云南省分行|中国人民银行内蒙古自治区分行|中国人民银行北京市分行|中国人民银行吉林省分行,一处一级主任科员及以下|一级主任科员及以下|一级主任科员及以下一|一级主任科员及以下（一）|一级主任科员及以下（二）|一级主办及以下|一级主办及以下(一)|一级主办及以下(二)
020106T,能源经济,本科(普通),,本科,经济学,经济学类,67.7,较强适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,5550.0,1.0,5549.0,0.0,0.0,0.0,100.0,0.0,0.0,主要靠专业大类/门类岗位,税务系统(4544)；财政审计金融监管(799)；统计调查(156)；公安/移民/基层执法(35)；海关/边检(23)；交通海事民航铁路(5),11280.0,77.05,4364.0,6.0,0.1,352.83,62.0,1.1,135.7,524.0,9.4,101.04,4958.0,89.3,83.84,392.0,5942.0,1.0,5941.0,very_high,升学后较强潜力,存在专业代码或专业名称精确匹配，并有直接学历兼容岗位。,头部院校优势主要体现在保研/读研后进入更高层级岗位。,区域重点/特色院校可重点面向省市县税务、执法、市场监管和事业单位路径。,应用本科可走县区基层、行政执法和地方单位，学校层级不宜夸大。,上海出入境边防检查总站|上海市公安局特勤局|中国井冈山干部学院|中国人民银行|中国人民银行云南省分行|中国人民银行内蒙古自治区分行|中国人民银行北京市分行|中国人民银行吉林省分行,一处一级主任科员及以下|一级主任科员及以下|一级主任科员及以下一|一级主任科员及以下（一）|一级主任科员及以下（二）|一级主办及以下|一级主办及以下(一)|一级主办及以下(二)
020107T,劳动经济学,本科(普通),,本科,经济学,经济学类,64.4,较强适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,5549.0,0.0,5549.0,0.0,0.0,0.0,100.0,0.0,0.0,主要靠专业大类/门类岗位,税务系统(4544)；财政审计金融监管(799)；统计调查(156)；公安/移民/基层执法(35)；海关/边检(23)；交通海事民航铁路(5),11279.0,77.03,4364.0,6.0,0.1,352.83,61.0,1.1,131.73,524.0,9.4,101.04,4958.0,89.3,83.84,393.0,5942.0,1.0,5941.0,very_high,升学后较强潜力,主要来自专业类/学科门类宽口径匹配，报考前必须核官方专业目录。,头部院校优势主要体现在保研/读研后进入更高层级岗位。,区域重点/特色院校可重点面向省市县税务、执法、市场监管和事业单位路径。,应用本科可走县区基层、行政执法和地方单位，学校层级不宜夸大。,上海出入境边防检查总站|上海市公安局特勤局|中国井冈山干部学院|中国人民银行|中国人民银行云南省分行|中国人民银行内蒙古自治区分行|中国人民银行北京市分行|中国人民银行吉林省分行,一处一级主任科员及以下|一级主任科员及以下|一级主任科员及以下一|一级主任科员及以下（一）|一级主任科员及以下（二）|一级主办及以下|一级主办及以下(一)|一级主办及以下(二)
