rysxai_profession_id,major_code,major_name,major_level,category,subject,domain_group,market_demand_count,market_salary_reference,market_demand_signal_level,market_activity_signal_level,job_posting_sample_count,top_industries,top_regions,top_job_directions,top_job_titles,top_skills,market_evidence_summary,tier1_head_research_work_distribution,tier2_regional_feature_work_distribution,tier3_applied_vocational_work_distribution,tier_comparison_summary,inference_confidence,source_scope_note
1,010101,哲学,本科,哲学,哲学类,教育人文/语言传媒,2321,7959,limited,very_high,5,教育培训:11.52；媒体:10.64；房地产:9.7,北京市:20.5；上海市:12.6；深圳市:7.4,行政/后勤/文秘:12.6；销售业务:11.3；人力资源:8.7,AI搜索-满意度:1；体验课全职老师/ 居家办公 线上授课:1；财务经理:1,图书:2；责任编辑:2；科技类:2；儿童读物:2；教育类:2,全国需求参考 2321（limited），月薪参考 7959；行业Top：教育培训:11.52；媒体:10.64；房地产:9.7；岗位方向Top：行政/后勤/文秘:12.6；销售业务:11.3；人力资源:8.7；地区Top：北京市:20.5；上海市:12.6；深圳市:7.4。,更偏重点学校、出版传媒、研究生深造、内容策划、国际交流和机关/平台文字岗位。 结合市场样本，主要对接行业：教育培训:11.52；媒体:10.64；房地产:9.7；常见岗位方向：行政/后勤/文秘:12.6；销售业务:11.3；人力资源:8.7；主要城市/区域：北京市:20.5；上海市:12.6；深圳市:7.4。,更偏区域中小学、教培、编辑运营、行政文秘、人力和区域媒体岗位。 结合市场样本，主要对接行业：教育培训:11.52；媒体:10.64；房地产:9.7；常见岗位方向：行政/后勤/文秘:12.6；销售业务:11.3；人力资源:8.7；主要城市/区域：北京市:20.5；上海市:12.6；深圳市:7.4。,普通本科场景下，岗位层级通常介于区域骨干与基层执行之间；更偏幼教/教辅/培训机构、文员、客服、新媒体执行、门店运营和本地服务岗位。 结合市场样本，主要对接行业：教育培训:11.52；媒体:10.64；房地产:9.7；常见岗位方向：行政/后勤/文秘:12.6；销售业务:11.3；人力资源:8.7；主要城市/区域：北京市:20.5；上海市:12.6；深圳市:7.4。,层级差异主要体现在城市平台、品牌机构、内容/管理岗位层级和本地服务岗位占比。,medium,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
2,010102,逻辑学,本科,哲学,哲学类,教育人文/语言传媒,455,10239,limited,very_high,5,教师:15；科研:12；公务员:11,上海:12；广州:11；深圳:10,销售代表:4；培训专员/助理/培训师:4；培训经理/主管:4,座舱产品主管:1；逻辑数据标注:1；言判培训讲师:1,全职:2；数据产品:1；用户产品:1；策略产品:1；AI产品:1,全国需求参考 455（limited），月薪参考 10239；行业Top：教师:15；科研:12；公务员:11；岗位方向Top：销售代表:4；培训专员/助理/培训师:4；培训经理/主管:4；地区Top：上海:12；广州:11；深圳:10。,更偏重点学校、出版传媒、研究生深造、内容策划、国际交流和机关/平台文字岗位。 结合市场样本，主要对接行业：教师:15；科研:12；公务员:11；常见岗位方向：销售代表:4；培训专员/助理/培训师:4；培训经理/主管:4；主要城市/区域：上海:12；广州:11；深圳:10。,更偏区域中小学、教培、编辑运营、行政文秘、人力和区域媒体岗位。 结合市场样本，主要对接行业：教师:15；科研:12；公务员:11；常见岗位方向：销售代表:4；培训专员/助理/培训师:4；培训经理/主管:4；主要城市/区域：上海:12；广州:11；深圳:10。,普通本科场景下，岗位层级通常介于区域骨干与基层执行之间；更偏幼教/教辅/培训机构、文员、客服、新媒体执行、门店运营和本地服务岗位。 结合市场样本，主要对接行业：教师:15；科研:12；公务员:11；常见岗位方向：销售代表:4；培训专员/助理/培训师:4；培训经理/主管:4；主要城市/区域：上海:12；广州:11；深圳:10。,层级差异主要体现在城市平台、品牌机构、内容/管理岗位层级和本地服务岗位占比。,medium,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
3,010103,宗教学,本科,哲学,哲学类,教育人文/语言传媒,5456,8417,limited,limited,0,教育培训:16.7；咨询服务:7.66；媒体:7.3,北京市:40.9；上海市:19.5；华东地区:5.6,行政/后勤/文秘:11.1；高级管理:7.6；教学/教务管理:7.4,,,全国需求参考 5456（limited），月薪参考 8417；行业Top：教育培训:16.7；咨询服务:7.66；媒体:7.3；岗位方向Top：行政/后勤/文秘:11.1；高级管理:7.6；教学/教务管理:7.4；地区Top：北京市:40.9；上海市:19.5；华东地区:5.6。,更偏重点学校、出版传媒、研究生深造、内容策划、国际交流和机关/平台文字岗位。 结合市场样本，主要对接行业：教育培训:16.7；咨询服务:7.66；媒体:7.3；常见岗位方向：行政/后勤/文秘:11.1；高级管理:7.6；教学/教务管理:7.4；主要城市/区域：北京市:40.9；上海市:19.5；华东地区:5.6。,更偏区域中小学、教培、编辑运营、行政文秘、人力和区域媒体岗位。 结合市场样本，主要对接行业：教育培训:16.7；咨询服务:7.66；媒体:7.3；常见岗位方向：行政/后勤/文秘:11.1；高级管理:7.6；教学/教务管理:7.4；主要城市/区域：北京市:40.9；上海市:19.5；华东地区:5.6。,普通本科场景下，岗位层级通常介于区域骨干与基层执行之间；更偏幼教/教辅/培训机构、文员、客服、新媒体执行、门店运营和本地服务岗位。 结合市场样本，主要对接行业：教育培训:16.7；咨询服务:7.66；媒体:7.3；常见岗位方向：行政/后勤/文秘:11.1；高级管理:7.6；教学/教务管理:7.4；主要城市/区域：北京市:40.9；上海市:19.5；华东地区:5.6。,层级差异主要体现在城市平台、品牌机构、内容/管理岗位层级和本地服务岗位占比。,medium,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
4,010104,伦理学,本科,哲学,哲学类,教育人文/语言传媒,1013,6961,limited,limited,5,教育培训:15.48；房地产:9.96；金融投资:7.24,上海市:16.8；北京市:13.6；广州市:7.4,行政/后勤/文秘:11.4；人力资源:9.9；销售业务:7.1,AI治理架构师-线上办公-全职:2；GCP主管:1；医疗讲师:1,AI治理:2；临床试验:1,全国需求参考 1013（limited），月薪参考 6961；行业Top：教育培训:15.48；房地产:9.96；金融投资:7.24；岗位方向Top：行政/后勤/文秘:11.4；人力资源:9.9；销售业务:7.1；地区Top：上海市:16.8；北京市:13.6；广州市:7.4。,更偏重点学校、出版传媒、研究生深造、内容策划、国际交流和机关/平台文字岗位。 结合市场样本，主要对接行业：教育培训:15.48；房地产:9.96；金融投资:7.24；常见岗位方向：行政/后勤/文秘:11.4；人力资源:9.9；销售业务:7.1；主要城市/区域：上海市:16.8；北京市:13.6；广州市:7.4。,更偏区域中小学、教培、编辑运营、行政文秘、人力和区域媒体岗位。 结合市场样本，主要对接行业：教育培训:15.48；房地产:9.96；金融投资:7.24；常见岗位方向：行政/后勤/文秘:11.4；人力资源:9.9；销售业务:7.1；主要城市/区域：上海市:16.8；北京市:13.6；广州市:7.4。,普通本科场景下，岗位层级通常介于区域骨干与基层执行之间；更偏幼教/教辅/培训机构、文员、客服、新媒体执行、门店运营和本地服务岗位。 结合市场样本，主要对接行业：教育培训:15.48；房地产:9.96；金融投资:7.24；常见岗位方向：行政/后勤/文秘:11.4；人力资源:9.9；销售业务:7.1；主要城市/区域：上海市:16.8；北京市:13.6；广州市:7.4。,层级差异主要体现在城市平台、品牌机构、内容/管理岗位层级和本地服务岗位占比。,medium,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
5,020101,经济学,本科,经济学,经济学类,财经金融/会计审计,14456,9138,medium,very_high,5,金融投资:13.86；房地产:11.24；批发零售:5.15,上海市:11.8；北京市:10.5；广州市:6.6,财务/审计/税务:21.2；销售业务:14；行政/后勤/文秘:6,学科老师（经济学）:1；AI工程师（产业经济学建模方向）:1；社科图书编辑（经济学方向）:1,私立学校:2；线下教育:2；坐班:2；小班教学（3-25人）:1；中学生:1,全国需求参考 14456（medium），月薪参考 9138；行业Top：金融投资:13.86；房地产:11.24；批发零售:5.15；岗位方向Top：财务/审计/税务:21.2；销售业务:14；行政/后勤/文秘:6；地区Top：上海市:11.8；北京市:10.5；广州市:6.6。,更偏金融机构总部、四大/头部审计咨询、投研风控、管培和复合型数据财务岗位。 结合市场样本，主要对接行业：金融投资:13.86；房地产:11.24；批发零售:5.15；常见岗位方向：财务/审计/税务:21.2；销售业务:14；行政/后勤/文秘:6；主要城市/区域：上海市:11.8；北京市:10.5；广州市:6.6。,更偏区域银行、企业财务、事务所、税务、审计、经营分析和财务管理岗位。 结合市场样本，主要对接行业：金融投资:13.86；房地产:11.24；批发零售:5.15；常见岗位方向：财务/审计/税务:21.2；销售业务:14；行政/后勤/文秘:6；主要城市/区域：上海市:11.8；北京市:10.5；广州市:6.6。,普通本科场景下，岗位层级通常介于区域骨干与基层执行之间；更偏出纳、会计助理、门店财务、税务助理、销售支持和基础运营结算岗位。 结合市场样本，主要对接行业：金融投资:13.86；房地产:11.24；批发零售:5.15；常见岗位方向：财务/审计/税务:21.2；销售业务:14；行政/后勤/文秘:6；主要城市/区域：上海市:11.8；北京市:10.5；广州市:6.6。,层级差异主要体现在机构层级、客户复杂度、牌照/考试路径和总部岗位机会。,medium-high,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
6,020102,经济统计学,本科,经济学,经济学类,财经金融/会计审计,29346,7175,medium,very_high,5,房地产:20.61；批发零售:7.97；咨询服务:7.14,华东地区:23.7；上海市:10.3；广州市:8.5,财务/审计/税务:11.6；销售业务:10.9；行政/后勤/文秘:5.2,经济分析师:2；经济监察员:1；经济学专业写作:1,内审/风控/法务相关经验:1；IT风险合规管理经验:1；固定薪资:1；活跃度高:1；全职:1,全国需求参考 29346（medium），月薪参考 7175；行业Top：房地产:20.61；批发零售:7.97；咨询服务:7.14；岗位方向Top：财务/审计/税务:11.6；销售业务:10.9；行政/后勤/文秘:5.2；地区Top：华东地区:23.7；上海市:10.3；广州市:8.5。,更偏金融机构总部、四大/头部审计咨询、投研风控、管培和复合型数据财务岗位。 结合市场样本，主要对接行业：房地产:20.61；批发零售:7.97；咨询服务:7.14；常见岗位方向：财务/审计/税务:11.6；销售业务:10.9；行政/后勤/文秘:5.2；主要城市/区域：华东地区:23.7；上海市:10.3；广州市:8.5。,更偏区域银行、企业财务、事务所、税务、审计、经营分析和财务管理岗位。 结合市场样本，主要对接行业：房地产:20.61；批发零售:7.97；咨询服务:7.14；常见岗位方向：财务/审计/税务:11.6；销售业务:10.9；行政/后勤/文秘:5.2；主要城市/区域：华东地区:23.7；上海市:10.3；广州市:8.5。,普通本科场景下，岗位层级通常介于区域骨干与基层执行之间；更偏出纳、会计助理、门店财务、税务助理、销售支持和基础运营结算岗位。 结合市场样本，主要对接行业：房地产:20.61；批发零售:7.97；咨询服务:7.14；常见岗位方向：财务/审计/税务:11.6；销售业务:10.9；行政/后勤/文秘:5.2；主要城市/区域：华东地区:23.7；上海市:10.3；广州市:8.5。,层级差异主要体现在机构层级、客户复杂度、牌照/考试路径和总部岗位机会。,medium-high,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
7,020103,国民经济管理,本科,经济学,经济学类,财经金融/会计审计,1217,9087,limited,very_high,5,房地产:12.81；金融投资:12.18；服装:5.43,北京市:17.2；东北地区:8.1；华中地区:7.9,销售业务:16.7；高级管理:15.9；财务/审计/税务:9.1,教学管理:2；物业管理:1；技术管理:1,教育工作经验:2；培训机构:2；线下教育:2；中学生:1；学前儿童/小学生:1,全国需求参考 1217（limited），月薪参考 9087；行业Top：房地产:12.81；金融投资:12.18；服装:5.43；岗位方向Top：销售业务:16.7；高级管理:15.9；财务/审计/税务:9.1；地区Top：北京市:17.2；东北地区:8.1；华中地区:7.9。,更偏金融机构总部、四大/头部审计咨询、投研风控、管培和复合型数据财务岗位。 结合市场样本，主要对接行业：房地产:12.81；金融投资:12.18；服装:5.43；常见岗位方向：销售业务:16.7；高级管理:15.9；财务/审计/税务:9.1；主要城市/区域：北京市:17.2；东北地区:8.1；华中地区:7.9。,更偏区域银行、企业财务、事务所、税务、审计、经营分析和财务管理岗位。 结合市场样本，主要对接行业：房地产:12.81；金融投资:12.18；服装:5.43；常见岗位方向：销售业务:16.7；高级管理:15.9；财务/审计/税务:9.1；主要城市/区域：北京市:17.2；东北地区:8.1；华中地区:7.9。,普通本科场景下，岗位层级通常介于区域骨干与基层执行之间；更偏出纳、会计助理、门店财务、税务助理、销售支持和基础运营结算岗位。 结合市场样本，主要对接行业：房地产:12.81；金融投资:12.18；服装:5.43；常见岗位方向：销售业务:16.7；高级管理:15.9；财务/审计/税务:9.1；主要城市/区域：北京市:17.2；东北地区:8.1；华中地区:7.9。,层级差异主要体现在机构层级、客户复杂度、牌照/考试路径和总部岗位机会。,medium,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
8,020104,资源与环境经济学,本科,经济学,经济学类,财经金融/会计审计,4692,8703,limited,very_high,5,媒体:28.37；咨询服务:14.99；保险:7.76,北京市:63.4；西南地区:9.8；深圳市:6.2,编辑/记者:15.1；金融分析/研究:8.8；行政/后勤/文秘:8.8,中海评招聘体系审核员:1；环境损害:1；律师（案源充足+工作环境好）:1,ISO9001:1；ISO27001:1；ISO45001:1；ISO50430:1；ISO14001:1,全国需求参考 4692（limited），月薪参考 8703；行业Top：媒体:28.37；咨询服务:14.99；保险:7.76；岗位方向Top：编辑/记者:15.1；金融分析/研究:8.8；行政/后勤/文秘:8.8；地区Top：北京市:63.4；西南地区:9.8；深圳市:6.2。,更偏金融机构总部、四大/头部审计咨询、投研风控、管培和复合型数据财务岗位。 结合市场样本，主要对接行业：媒体:28.37；咨询服务:14.99；保险:7.76；常见岗位方向：编辑/记者:15.1；金融分析/研究:8.8；行政/后勤/文秘:8.8；主要城市/区域：北京市:63.4；西南地区:9.8；深圳市:6.2。,更偏区域银行、企业财务、事务所、税务、审计、经营分析和财务管理岗位。 结合市场样本，主要对接行业：媒体:28.37；咨询服务:14.99；保险:7.76；常见岗位方向：编辑/记者:15.1；金融分析/研究:8.8；行政/后勤/文秘:8.8；主要城市/区域：北京市:63.4；西南地区:9.8；深圳市:6.2。,普通本科场景下，岗位层级通常介于区域骨干与基层执行之间；更偏出纳、会计助理、门店财务、税务助理、销售支持和基础运营结算岗位。 结合市场样本，主要对接行业：媒体:28.37；咨询服务:14.99；保险:7.76；常见岗位方向：编辑/记者:15.1；金融分析/研究:8.8；行政/后勤/文秘:8.8；主要城市/区域：北京市:63.4；西南地区:9.8；深圳市:6.2。,层级差异主要体现在机构层级、客户复杂度、牌照/考试路径和总部岗位机会。,medium,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
9,020105,商务经济学,本科,经济学,经济学类,财经金融/会计审计,16745,9141,medium,very_high,5,商务分析师:15；市场研究员:12；金融顾问:11,深圳:12；上海:10；广州:10,销售代表:15；销售经理:6；大客户销售:3,商务:1；商务拓展经理:1；公关 商务 外联 项目经理 综合型 高管储备:1,渠道合作经验:1；产品运营经验:1；资源整合能力:1；互联网:1；市场营销合作:1,全国需求参考 16745（medium），月薪参考 9141；行业Top：商务分析师:15；市场研究员:12；金融顾问:11；岗位方向Top：销售代表:15；销售经理:6；大客户销售:3；地区Top：深圳:12；上海:10；广州:10。,更偏金融机构总部、四大/头部审计咨询、投研风控、管培和复合型数据财务岗位。 结合市场样本，主要对接行业：商务分析师:15；市场研究员:12；金融顾问:11；常见岗位方向：销售代表:15；销售经理:6；大客户销售:3；主要城市/区域：深圳:12；上海:10；广州:10。,更偏区域银行、企业财务、事务所、税务、审计、经营分析和财务管理岗位。 结合市场样本，主要对接行业：商务分析师:15；市场研究员:12；金融顾问:11；常见岗位方向：销售代表:15；销售经理:6；大客户销售:3；主要城市/区域：深圳:12；上海:10；广州:10。,普通本科场景下，岗位层级通常介于区域骨干与基层执行之间；更偏出纳、会计助理、门店财务、税务助理、销售支持和基础运营结算岗位。 结合市场样本，主要对接行业：商务分析师:15；市场研究员:12；金融顾问:11；常见岗位方向：销售代表:15；销售经理:6；大客户销售:3；主要城市/区域：深圳:12；上海:10；广州:10。,层级差异主要体现在机构层级、客户复杂度、牌照/考试路径和总部岗位机会。,medium-high,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
10,020106,能源经济,本科,经济学,经济学类,财经金融/会计审计,6383,9703,limited,limited,0,能源分析师:14；政策研究员:13；规划专员:12,深圳:14；上海:13；广州:12,商务助理:4；人事专员:4；商务主管/专员:4,,,全国需求参考 6383（limited），月薪参考 9703；行业Top：能源分析师:14；政策研究员:13；规划专员:12；岗位方向Top：商务助理:4；人事专员:4；商务主管/专员:4；地区Top：深圳:14；上海:13；广州:12。,更偏金融机构总部、四大/头部审计咨询、投研风控、管培和复合型数据财务岗位。 结合市场样本，主要对接行业：能源分析师:14；政策研究员:13；规划专员:12；常见岗位方向：商务助理:4；人事专员:4；商务主管/专员:4；主要城市/区域：深圳:14；上海:13；广州:12。,更偏区域银行、企业财务、事务所、税务、审计、经营分析和财务管理岗位。 结合市场样本，主要对接行业：能源分析师:14；政策研究员:13；规划专员:12；常见岗位方向：商务助理:4；人事专员:4；商务主管/专员:4；主要城市/区域：深圳:14；上海:13；广州:12。,普通本科场景下，岗位层级通常介于区域骨干与基层执行之间；更偏出纳、会计助理、门店财务、税务助理、销售支持和基础运营结算岗位。 结合市场样本，主要对接行业：能源分析师:14；政策研究员:13；规划专员:12；常见岗位方向：商务助理:4；人事专员:4；商务主管/专员:4；主要城市/区域：深圳:14；上海:13；广州:12。,层级差异主要体现在机构层级、客户复杂度、牌照/考试路径和总部岗位机会。,medium,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
